playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Pop FR (291 titres),1,2,1849831,Mon fils ma bataille,Various Artists,80 Hits : Chanson Française,247
Pop FR (291 titres),1,2,1954250,Mon fils ma bataille,Various Artists,80 Hits : Chanson française,247
Pop FR (291 titres),2,2,1188592,Pop That,French Montana,Excuse My French,303
Pop FR (291 titres),2,2,2131647,Pop That,French Montana,Excuse My French,303
Pop FR (291 titres),3,2,2118514,J'aimerais tellement,Various Artists,80 Hits : Chanson Française,233
Pop FR (291 titres),3,2,2123014,J'aimerais tellement,Various Artists,80 Hits : Chanson française,233
Pop FR (291 titres),4,3,1989883,"Bambino (Version française de ""Guaglione"")",Claudio Capéo,Penso a te,139
Pop FR (291 titres),4,3,2065953,"Bambino (Version française de ""Guaglione"")",Claudio Capéo,Penso a te,207
Pop FR (291 titres),4,3,2138509,Bambino (version Française de “guaglione”),Claudio Capéo,Penso a te (L'ultimo),207
Pop FR (291 titres),5,2,2190491,Black trombone,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,225
Pop FR (291 titres),5,2,2263533,Black trombone,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,225
Pop FR (291 titres),6,3,2014900,C  Est la Même Chanson,François Valéry,Unknown Album,213
Pop FR (291 titres),6,3,2202436,C'EST LA MÊME CHANSON,François Valéry,C'EST LA MÊME CHANSON,213
Pop FR (291 titres),6,3,2187594,C’EST LA MÊME CHANSON,François Valéry,Unknown Album,213
Pop FR (291 titres),7,2,2222334,C'est la même chanson,M. Pokora,My Way,187
Pop FR (291 titres),7,2,2242003,C'est la même chanson,M. Pokora,My Way,187
Pop FR (291 titres),8,2,1271591,C'est une chanson,Claudio Capéo,Penso a te (L'ultimo),185
Pop FR (291 titres),8,2,2114151,C’est une chanson,Claudio Capéo,Various Artists,185
Pop FR (291 titres),9,2,2190507,Ces petits riens,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,140
Pop FR (291 titres),9,2,2263549,Ces petits riens,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,140
Pop FR (291 titres),10,2,2167122,Chanson D'Hiver,Vianney,Idées Blanches (Nouvelle Édition),205
Pop FR (291 titres),10,2,2062084,Chanson d’hiver,Vianney,Idées Blanches (Nouvelle Édition),205
Pop FR (291 titres),11,2,1958905,Chanson D'automne,IAM,Rêvolution,268
Pop FR (291 titres),11,2,2197914,Chanson D'automne,IAM,Rêvolution,268
Pop FR (291 titres),12,2,1718669,Chanson De L'Arbre,Autour De Lucie,Faux Mouvement,288
Pop FR (291 titres),12,2,2074445,chanson de l'arbre,Autour De Lucie,faux mouvement [2001],288
Pop FR (291 titres),13,2,2194287,Chanson dada,Bernard Lavilliers,2005 Escale au grand Rex (live) CD2,135
Pop FR (291 titres),13,2,2207174,Chanson dada,Bernard Lavilliers,Bernard Lavilliers,122
Pop FR (291 titres),14,3,2217259,Chanson minable,Pierre Perret,La Femme grillagée,226
Pop FR (291 titres),14,3,2228751,Chanson minable,Pierre Perret,La Femme grillagée,226
Pop FR (291 titres),14,3,2265825,Chanson minable,Pierre Perret,La Femme grillagée,226
Pop FR (291 titres),15,2,1207982,Chanson pour hier et demain,Marie‐Mai,Inoxydable,214
Pop FR (291 titres),15,2,1213709,Chanson pour hier et demain,Marie‐Mai,Inoxydable,214
Pop FR (291 titres),16,2,2207170,Chanson pour ma mie,Bernard Lavilliers,Bernard Lavilliers,134
Pop FR (291 titres),16,2,2207171,Chanson pour ma mie,Bernard Lavilliers,Bernard Lavilliers,178
Pop FR (291 titres),17,3,2120026,Chanson simple,Patricia Kaas,Dans ma chair,203
Pop FR (291 titres),17,3,2172445,Chanson simple,Patricia Kaas,Dans ma chair,203
Pop FR (291 titres),17,3,2271838,Chanson simple,Patricia Kaas,Dans ma chair,203
Pop FR (291 titres),18,2,1301766,"Chansons pour le corps : Chanson 3 ""Les Seins""",Luc Ferrari,Volume 1: Chansons pour le corps,199
Pop FR (291 titres),18,2,1301765,Chansons pour le corps : Chanson 3 “Les Seins”,Luc Ferrari,Volume 1: Chansons pour le corps,199
Pop FR (291 titres),19,2,2190504,Comme un boomerang,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,245
Pop FR (291 titres),19,2,2263546,Comme un boomerang,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,245
Pop FR (291 titres),20,11,2190490,Dialogue,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,48
Pop FR (291 titres),20,11,2263532,Dialogue,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,48
Pop FR (291 titres),20,11,2263534,Dialogue,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,59
Pop FR (291 titres),20,11,2263536,Dialogue,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,106
Pop FR (291 titres),20,11,2263538,Dialogue,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,50
Pop FR (291 titres),20,11,2263540,Dialogue,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,100
Pop FR (291 titres),20,11,2263542,Dialogue,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,44
Pop FR (291 titres),20,11,2263545,Dialogue,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,79
Pop FR (291 titres),20,11,2263548,Dialogue,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,29
Pop FR (291 titres),20,11,2263550,Dialogue,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,79
Pop FR (291 titres),20,11,2263552,Dialogue,Serge Gainsbourg,La Comédie-Française chante Gainsbourg,59
Pop FR (291 titres),21,10,2258924,Dialogue,Serge Gainsbourg; Comédie-Française,La Comédie-Française chante Gainsbourg,48
Pop FR (291 titres),21,10,2258926,Dialogue,Serge Gainsbourg; Comédie-Française,La Comédie-Française chante Gainsbourg,59
Pop FR (291 titres),21,10,2258928,Dialogue,Serge Gainsbourg; Comédie-Française,La Comédie-Française chante Gainsbourg,106
Pop FR (291 titres),21,10,2258930,Dialogue,Serge Gainsbourg; Comédie-Française,La Comédie-Française chante Gainsbourg,50
Pop FR (291 titres),21,10,2258932,Dialogue,Serge Gainsbourg; Comédie-Française,La Comédie-Française chante Gainsbourg,100
Pop FR (291 titres),21,10,2258934,Dialogue,Serge Gainsbourg; Comédie-Française,La Comédie-Française chante Gainsbourg,44
Pop FR (291 titres),21,10,2258937,Dialogue,Serge Gainsbourg; Comédie-Française,La Comédie-Française chante Gainsbourg,79
Pop FR (291 titres),21,10,2258940,Dialogue,Serge Gainsbourg; Comédie-Française,La Comédie-Française chante Gainsbourg,29
