playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Workout intense (33 titres),1,2,2181542,SWEET NOTHING (FEAT. FLORENCE WELCH),Various Artists,NOW THAT’S WHAT I CALL A WORKOUT 2,212
Workout intense (33 titres),1,2,2131702,Sweet Nothing (Feat. Florence Welch),Various Artists,Now That's What I Call A Workout 2,212
Workout intense (33 titres),2,2,1261128,Myth,Beach House,[standalone recordings],258
Workout intense (33 titres),2,2,2067936,Myth,Beach House,Bloom,254
Workout intense (33 titres),3,2,1631390,Yours,Various Artists,Back 2 the Dance,234
Workout intense (33 titres),3,2,2131613,Yours,Various Artists,Back 2 The Dance,234
Workout intense (33 titres),4,2,1950628,Groove Is in the Heart,Various Artists,La Musique de Tout le monde en parle,232
Workout intense (33 titres),4,2,2131687,Groove Is in the Heart,Various Artists,La Musique de Tout le monde en parle,232
Workout intense (33 titres),5,4,1950630,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Workout intense (33 titres),5,4,2131659,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Workout intense (33 titres),5,4,1428403,Groove Is in the Heart (LP version),Deee‐Lite,Rhino Hi-Five: Deee-Lite,231
Workout intense (33 titres),5,4,2131710,Groove Is in the Heart (LP version),Deee‐Lite,Rhino Hi-Five: Deee-Lite,231
Workout intense (33 titres),6,3,2267469,House Key,Scott Helman,Hôtel de Ville,205
Workout intense (33 titres),6,3,2109167,House Key,Scott Helman,Hôtel de Ville,205
Workout intense (33 titres),6,3,1946490,House Key,Scott Helman,Hôtel de Ville,205
Workout intense (33 titres),7,2,2120068,Baila pa Emociona - Calypso,Zumba Fitness,Cardio Party Soundtrack,251
Workout intense (33 titres),7,2,2132270,Baila pa Emociona - Calypso,Zumba Fitness,Cardio Party Soundtrack,251
Workout intense (33 titres),8,2,1942375,Jaded (ambient mix),Deadmau5,Jaded EP,250
Workout intense (33 titres),8,2,2131675,Jaded (ambient mix),Deadmau5,Jaded EP,250
Workout intense (33 titres),9,2,2004694,Sex & Drugs & House (Stage Edit),D-Devils,Dance With the Devil,221
Workout intense (33 titres),9,2,2136515,Sex & Drugs & House (Stage edit),D-Devils,Dance with the Devil,221
