playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Sieste & Sommeil (500 titres),1,3,2081846,Dream Machine (Downtempo mix),Stéphane Pompougnac,"Hôtel Costes, Volume 8",324
Sieste & Sommeil (500 titres),1,3,2183550,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Sieste & Sommeil (500 titres),1,3,2336355,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Sieste & Sommeil (500 titres),2,2,2210829,Brahms' Lullaby,Céline Dion,Miracle,215
Sieste & Sommeil (500 titres),2,2,2060861,Brahms’ Lullaby,Céline Dion,Miracle,212
Sieste & Sommeil (500 titres),3,2,2346854,Unknown,Katy Perry,Teenage Dream,227
Sieste & Sommeil (500 titres),3,2,2346855,Unknown,Katy Perry,Teenage Dream,272
Sieste & Sommeil (500 titres),4,3,1246193,No Sleep Till Brooklyn,Beastie Boys,Licensed to Ill,248
Sieste & Sommeil (500 titres),4,3,2234282,No Sleep Till Brooklyn,Beastie Boys,Fight for Your Right / No Sleep Till Brooklyn / Brass Monkey,247
Sieste & Sommeil (500 titres),4,3,2219791,No sleep till brooklyn,Beastie Boys,2005 - Solid Gold Hits,246
Sieste & Sommeil (500 titres),5,3,2212681,SHUFFLE A DREAM,Little Dragon,SHUFFLE A DREAM,174
Sieste & Sommeil (500 titres),5,3,2022249,Shuffle A Dream,Little Dragon,Ritual Union,174
Sieste & Sommeil (500 titres),5,3,1298076,Shuffle a Dream,Little Dragon,Shuffle a Dream,174
Sieste & Sommeil (500 titres),6,2,2124273,Shuffle a Dream,Various Artists,Nova Tunes 2.5,174
Sieste & Sommeil (500 titres),6,2,2306581,Shuffle a Dream,Various Artists,Nova Tunes 2.5,174
Sieste & Sommeil (500 titres),7,2,2340356,Someone Else’S Dream,Absofacto,someone else’s dream,200
Sieste & Sommeil (500 titres),7,2,2287589,Someone Else’s Dream,Absofacto,Someone Else’s Dream,200
Sieste & Sommeil (500 titres),8,2,2173504,Walking on A Dream,Empire of the Sun,Walking on A Dream,198
Sieste & Sommeil (500 titres),8,2,2267486,Walking on a Dream,Empire of the Sun,Walking on a Dream (special edition),195
Sieste & Sommeil (500 titres),9,2,1961830,(All I Can Do Is) Dream You,Roy Orbison,Black & White Night,205
Sieste & Sommeil (500 titres),9,2,1962299,(All I Can Do Is) Dream You,Roy Orbison,Mystery Girl,219
Sieste & Sommeil (500 titres),10,4,2220630,02  Dive in to Me,Big Country,John Wayne's Dream,310
Sieste & Sommeil (500 titres),10,4,2240643,02  Dive in to Me,Big Country,John Wayne's Dream,310
Sieste & Sommeil (500 titres),10,4,2297811,02  Dive in to Me,Big Country,John Wayne's Dream,310
Sieste & Sommeil (500 titres),10,4,2317846,02  Dive in to Me,Big Country,John Wayne's Dream,310
Sieste & Sommeil (500 titres),11,3,2220631,03  See You,Big Country,John Wayne's Dream,232
Sieste & Sommeil (500 titres),11,3,2240644,03  See You,Big Country,John Wayne's Dream,232
Sieste & Sommeil (500 titres),11,3,2317847,03  See You,Big Country,John Wayne's Dream,232
Sieste & Sommeil (500 titres),12,3,2220632,04  Perfect World,Big Country,John Wayne's Dream,245
Sieste & Sommeil (500 titres),12,3,2240645,04  Perfect World,Big Country,John Wayne's Dream,245
Sieste & Sommeil (500 titres),12,3,2317848,04  Perfect World,Big Country,John Wayne's Dream,245
Sieste & Sommeil (500 titres),13,4,2220633,05  Somebody Else,Big Country,John Wayne's Dream,249
Sieste & Sommeil (500 titres),13,4,2240646,05  Somebody Else,Big Country,John Wayne's Dream,249
Sieste & Sommeil (500 titres),13,4,2297812,05  Somebody Else,Big Country,John Wayne's Dream,249
Sieste & Sommeil (500 titres),13,4,2317849,05  Somebody Else,Big Country,John Wayne's Dream,249
Sieste & Sommeil (500 titres),14,4,2220634,06  Fragile Thing,Big Country,John Wayne's Dream,272
Sieste & Sommeil (500 titres),14,4,2240647,06  Fragile Thing,Big Country,John Wayne's Dream,272
Sieste & Sommeil (500 titres),14,4,2297813,06  Fragile Thing,Big Country,John Wayne's Dream,272
Sieste & Sommeil (500 titres),14,4,2317850,06  Fragile Thing,Big Country,John Wayne's Dream,272
Sieste & Sommeil (500 titres),15,3,2220635,07  The President Slipped and Fell,Big Country,John Wayne's Dream,178
Sieste & Sommeil (500 titres),15,3,2240648,07  The President Slipped and Fell,Big Country,John Wayne's Dream,178
Sieste & Sommeil (500 titres),15,3,2317851,07  The President Slipped and Fell,Big Country,John Wayne's Dream,178
Sieste & Sommeil (500 titres),16,4,2220636,08  Devil in the Eye,Big Country,John Wayne's Dream,254
Sieste & Sommeil (500 titres),16,4,2240649,08  Devil in the Eye,Big Country,John Wayne's Dream,254
Sieste & Sommeil (500 titres),16,4,2297814,08  Devil in the Eye,Big Country,John Wayne's Dream,254
Sieste & Sommeil (500 titres),16,4,2317852,08  Devil in the Eye,Big Country,John Wayne's Dream,254
Sieste & Sommeil (500 titres),17,3,2220637,09  Trouble in the Waters,Big Country,John Wayne's Dream,268
Sieste & Sommeil (500 titres),17,3,2240650,09  Trouble in the Waters,Big Country,John Wayne's Dream,268
Sieste & Sommeil (500 titres),17,3,2317853,09  Trouble in the Waters,Big Country,John Wayne's Dream,268
Sieste & Sommeil (500 titres),18,3,2220638,10  Bella,Big Country,John Wayne's Dream,214
Sieste & Sommeil (500 titres),18,3,2240651,10  Bella,Big Country,John Wayne's Dream,214
Sieste & Sommeil (500 titres),18,3,2317854,10  Bella,Big Country,John Wayne's Dream,214
